file,headline,fr,de,es,ru,is_fake
099fake.txt,QUEEN BEY!! Beyonce Gets Taylor Swift BANNED From The VMAs,Reine Bey !! Beyonce obtient Taylor Swift banni des VMA.,Queen Bey !! Beyonce bekommt Taylor Swift aus den VMAs verbannt.,Reina Bey !! Beyonce recibe a Taylor Swift prohibido de los VMA.,"Королева бей !! Бейонсе получает Тейлор Свифт, запрещенное в VMA.",1
028fake.txt,Donald Trump and First Lady Melania Keep Separate Bedrooms,Donald Trump et la Première Dame Melania gardent des chambres séparées.,Donald Trump und First Lady Melania behalten getrennte Schlafzimmer.,Donald Trump y la primera dama Melania mantienen habitaciones separadas.,Дональд Трамп и первая леди Мелания держат отдельные спальни.,1
087fake.txt,It's All About The Ka$h! Kim Kardashian & Kanye West Refuse Charity Donation To Settle Lawsuit With YouTube Founder Over Engagement Video,Il s'agit de Ka $ H! Kim Kardashian.,Es geht nur um die Ka $ h! Kim Kardashian.,¡Se trata del KA $ H! Kim Kardashian.,Это все о ка $ H! Ким Кардашян.,1
097fake.txt,Barack & Michelle Obama's Marriage Meltdown - How It's Costing Taxpayers Millions!,Barack.,Barack.,Barack.,Барак.,1
086fake.txt,Kim Kardashian Trying To Steal Kanye West's Money Through Elaborate Prenup Scheme?,Kim Kardashian essayant de voler l'argent de Kanye West grâce à un système de contrat de contrainte élaboré?.,"Kim Kardashian versucht, Kanye Wests Geld durch aufwändiges Prenup -Programm zu stehlen?.",¿Kim Kardashian intenta robar el dinero de Kanye West a través del elaborado esquema de prenupc?.,Ким Кардашьян пытается украсть деньги Канье Уэста посредством сложной схемы Prenup?.,1
085fake.txt,Claims Anne Hathaway made 'diva' demands at charity event,Réclame Anne Hathaway a fait des demandes de «diva» à l'événement caritatif.,Forderungen Anne Hathaway machte 'Diva' Forderungen bei der Wohltätigkeitsveranstaltung.,Reclamos Anne Hathaway hizo demandas de 'diva' en el evento de caridad.,"Утверждает, что Энн Хэтэуэй предъявила требования «дива» на благотворительном мероприятии.",1
100fake.txt,'Dancing With The Stars': Donald Trump Asked To Star In Show & He Hasn't Said No,`` Dancing with the Stars '': Donald Trump a demandé à jouer dans le spectacle.,"'Dancing with the Stars': Donald Trump bat darum, in der Show zu spielen.",'Dancing with the Stars': Donald Trump pidió protagonizar el espectáculo.,«Танцы со звездами»: Дональд Трамп попросил сыграть в шоу.,1
045fake.txt,Has Tom Hiddleston's 'Embarrassing' Romance With Taylor Swift Cost Him a Job?,La romance «embarrassante» de Tom Hiddleston avec Taylor Swift lui a-t-elle coûté un travail?.,"Hat Tom Hiddlestons ""peinliche"" Romanze mit Taylor Swift ihn einen Job gekostet?.","¿El romance ""vergonzoso"" de Tom Hiddleston con Taylor Swift le ha costado un trabajo?.",Стоил ли «смущающий» роман Тома Хиддлстона с Тейлор Свифт на работу?.,1
092fake.txt,Drake Facing Gay Rumors After Getting Frisky With Another Man,Drake face à des rumeurs gays après être devenus fringants avec un autre homme.,"Drake gegenüber schwulen Gerüchten, nachdem er mit einem anderen Mann kaum geworden war.",Drake frente a los rumores gay después de ponerse juguetón con otro hombre.,"Дрейк сталкивается с гей -слухами после того, как стал резким с другим мужчиной.",1
075fake.txt,Rebounding Revenge! Selena Gomez And Orlando Bloom Are Hooking Up To Make Miranda Kerr And Justin Bieber Jealous?!,Rebondissement de la vengeance! Selena Gomez et Orlando Bloom se connectent pour rendre Miranda Kerr et Justin Bieber jaloux ?!.,"Rache abprallen! Selena Gomez und Orlando Bloom machen sich an, um Miranda Kerr und Justin Bieber eifersüchtig zu machen?!.",Rebounding Revenge! ¿Selena Gomez y Orlando Bloom se están conectando para poner celosos a Miranda Kerr y Justin Bieber?.,"Отстаивать месть! Селена Гомес и Орландо Блум подключаются, чтобы заставить Миранду Керр и Джастин Бибер ревновать?!.",1
040fake.txt,"Tyga To Reveal The Ugly Truth About Kylie Jenner And Kardashians In New Tell-All Book, Insiders Say","Tyga pour révéler la vilaine vérité sur Kylie Jenner et Kardashians dans un nouveau livre Tell-All, Insiders Say.","Tyga, um die hässliche Wahrheit über Kylie Jenner und Kardashians in New Tell-All-Buch zu enthüllen, sagen Insider, sagen Insider.","Tyga para revelar la fea verdad sobre Kylie Jenner y Kardashians en el nuevo libro Tell-All, dicen los expertos.","Тайга, чтобы раскрыть уродливую правду о Кайли Дженнер и Кардашьян в новой книге «По словам», говорят инсайдеры.",1
072fake.txt,'It was a long time coming': Heidi Klum ends seven-year marriage over Seal's 'volcanic temper',`` C'était long à venir '': Heidi Klum termine le mariage de sept ans sur le «tempérament volcanique» de Seal.,"""Es dauerte lange:"".",'Fue mucho tiempo': Heidi Klum termina el matrimonio de siete años sobre el 'temperamento volcánico' de Seal '.,"«Это было долгое время»: Хайди Клум заканчивает семилетний брак из-за «Вулканического характера"" Печать "".",1
071fake.txt,Did Charlize Theron Break Keanu Reeves' Heart By Dating Sean Penn?,Charlize Theron a-t-il brisé le cœur de Keanu Reeves en sortant avec Sean Penn?.,Hat Charlize Theron das Herz von Keanu Reeves durch Sean Penn gebrochen?.,¿Charlize Theron rompió el corazón de Keanu Reeves saliendo con Sean Penn?.,"Шарлиз Терон разбила сердце Киану Ривза, встречаясь с Шоном Пенном?.",1
081fake.txt,Robert Pattinson Recovering From Alleged Drinking Problem - Realized Substance Abuse Would Tank Career! | Celeb Dirty Laundry,Robert Pattinson se remettant d'un problème de consommation d'alcool présumé - la toxicomanie réalisée aurait la carrière! | Laverie sale de célébrité.,Robert Pattinson erholt sich von mutmaßlichem Trinkproblem - realisierte Drogenmissbrauch würde die Karriere als Panzer! | Promi Dirty Wäsche.,Robert Pattinson se recuperó del supuesto problema de consumo de alcohol: ¡el abuso de sustancias realizada sería una carrera tanque! | Celeb Dirty Laundry.,Роберт Паттинсон выздоравливает после предполагаемой проблемы с употреблением алкоголя - осознание злоупотребления психоактивными веществами сделает карьеру! | Знаменитость грязное прачечная.,1
066fake.txt,"ROSIE O FLEES CRAZY ""HOUSEWIVES"" NEIGHBORS","Rosie O s'enfuit des voisins de ""femmes au foyer"".","Rosie O flieht verrückte Nachbarn ""Hausfrauen"".","Rosie O huye a vecinos locos de ""amas de casa"".","Рози О бежает от сумасшедших ""домохозяек"" соседей.",1
065fake.txt,Sarah Jessica Parker Inherits Vogue Magazine Control From Anna Wintour? | Celeb Dirty Laundry,Sarah Jessica Parker hérite du contrôle du magazine Vogue d'Anna Wintour? | Laverie sale de célébrité.,Sarah Jessica Parker erbt die Kontrolle des Vogue Magazine von Anna Wintour? | Promi Dirty Wäsche.,Sarah Jessica Parker hereda el control de la revista Vogue de Anna Wintour? | Celeb Dirty Laundry.,Сара Джессика Паркер наследует управление журналом Vogue от Анны Винтур? | Знаменитость грязное прачечная.,1
067fake.txt,Lindsay Lohan Doing Drugs on Oprah's Dime!,Lindsay Lohan se drogue sur le sou d'Oprah!.,"Lindsay Lohan, Drogen auf Oprahs Cent!.",¡Lindsay Lohan haciendo drogas en la moneda de diez centavos de Oprah!.,Линдсей Лохан принимает наркотики на копье Опры!.,1
098fake.txt,Miley Cyrus and Liam Hemsworth End Engagement,Miley Cyrus et Liam Hemsworth End Engagement.,Miley Cyrus und Liam Hemsworth End Engagement.,Miley Cyrus y Liam Hemsworth End Engagement.,Майли Сайрус и Лиам Хемсворт.,1
039fake.txt,OK! Exclusive: Lindsay Lohan Plans To Move To Russia After Her Wedding To Egor Tarabasov Amid Her Feud With Her Parents Over The Ceremony,D'ACCORD! Exclusif: Lindsay Lohan prévoit de déménager en Russie après son mariage avec Egor Tarabasov au milieu de sa querelle avec ses parents au cours de la cérémonie.,"OK! Exklusiv: Lindsay Lohan plant, nach ihrer Hochzeit nach ihrer Hochzeit nach Egor Tarabasov inmitten ihrer Fehde mit ihren Eltern wegen der Zeremonie zu ziehen.",¡DE ACUERDO! Exclusivo: Lindsay Lohan planea mudarse a Rusia después de su boda con Egor Tarabasov en medio de su disputa con sus padres por la ceremonia.,ХОРОШО! Эксклюзив: Линдсей Лохан планирует переехать в Россию после свадьбы на Эгор Тарабасова среди ее вражды с родителями по поводу церемонии.,1
046fake.txt,Drake Invites Taylor Swift To Stay At His House After Alleged Stalking Incident,Drake invite Taylor Swift à rester chez lui après un prétendu incident de traque.,"Drake lädt Taylor Swift ein, nach mutmaßlichem Vorfall in seinem Haus zu bleiben.",Drake invita a Taylor Swift a quedarse en su casa después de presunto incidente de acoso.,Дрейк приглашает Тейлор Свифт остаться в его доме после предполагаемого инцидента с преследованием.,1
091fake.txt,Scientology Showdown! Katie Holmes & Jenna Elfman Caught In Awkward 'GMA' Run-In,Couraison de la Scientologie! Katie Holmes.,Scientology Showdown! Katie Holmes.,Showdown de Scientology! Katie Holmes.,Саентологическая вскрытие! Кэти Холмс.,1
063fake.txt,Liza Minelli Has 'Three Months Left' To Live After Tragic Relapse: Friends Tell All,Liza Minelli a «trois mois à vivre» après une rechute tragique: les amis disent tout.,"Liza Minelli hat ""drei Monate Zeit"", um nach einem tragischen Rückfall zu leben: Freunde erzählen es allen.",Liza Minelli tiene 'tres meses restantes' para vivir después de una recaída trágica: los amigos cuentan a todos.,"Лиза Минелли осталось «три месяца», чтобы жить после трагического рецидива: друзья рассказывают все.",1
080fake.txt,EXCLUSIVE COVER STORY: MICHAEL DOUGLAS $300 MILLION DIVORCE,Histoire de la couverture exclusive: Michael Douglas 300 millions de dollars de divorce.,Exklusive Titelgeschichte: Michael Douglas 300 Millionen US -Dollar Scheidung.,Historia de portada exclusiva: Michael Douglas $ 300 millones Divorcio.,Эксклюзивная история обложки: Майкл Дуглас 300 миллионов долларов.,1
102fake.txt,Taylor Swift Goes Naked in ',Taylor Swift devient nu '.,Taylor Swift geht nackt in '.,Taylor Swift se desnuda.,Тейлор Свифт идет голым в '.,1
035fake.txt,Selena Gomez & The Weeknd's Plans To Double Date With Jennifer Aniston & Justin Theroux,Selena Gomez.,Selena Gomez.,Selena Gomez.,Селена Гомез.,1
062fake.txt,Rupaul claims Trump touched him inappropriately in the 1990s,Rupaul affirme que Trump l'a touché de manière inappropriée dans les années 1990.,"RuPaul behauptet, Trump habe ihn in den neunziger Jahren unangemessen berührt.",RuPaul afirma que Trump lo tocó de manera inapropiada en la década de 1990.,"Рупов утверждает, что Трамп не присматривал его в 1990 -х годах.",1
051fake.txt,Prince Harry is Moving to the US to Find a Wife!,Le prince Harry déménage aux États-Unis pour trouver une femme!.,"Prinz Harry zieht in die USA, um eine Frau zu finden!.",¡El Príncipe Harry se mudará a los Estados Unidos para encontrar una esposa!.,"Принц Гарри переезжает в США, чтобы найти жену!.",1
079fake.txt,"Queen Elizabeth and Kate Middleton Clash Again: Duchess Scared of Difficult Pregnancy, Adopting Second 'Royal' Baby - Reports","La reine Elizabeth et Kate Middleton s'affrontent à nouveau: la duchesse a peur de la grossesse difficile, adoptant le deuxième bébé «royal» - rapporte.","Königin Elizabeth und Kate Middleton erneut aufeinander treffen: Herzogin Angst vor einer schwierigen Schwangerschaft und adoptierte das zweite ""königliche"" Baby - Berichte.","La reina Isabel y Kate Middleton Choque nuevamente: Duquesa asustada del difícil embarazo, adoptando el segundo bebé 'real' - informes.","Королева Елизавета и Кейт Миддлтон снова столкнулись: герцогиня боялась трудной беременности, приняв второй «королевский» ребенок - отчеты.",1
059fake.txt,Tory ministers have saved an iconic gay bar once visited by Princess Diana,Les ministres conservateurs ont sauvé un bar gay emblématique une fois visité par la princesse Diana.,"Tory -Minister haben eine legendäre Schwulenbar gerettet, die einmal von Prinzessin Diana besucht wurde.",Los ministros de Tory han salvado un icónico bar gay una vez visitado por la princesa Diana.,"Министры Тори спасли культовый гей -бар, когда -то посетили принцессу Диана.",1
061fake.txt,Fake Pregnancy? Beyoncé's Twin Baby Bump Is Raising Questions,Fausse grossesse? La bosse de bébé jumelle de Beyoncé soulève des questions.,Falsche Schwangerschaft? Beyoncés Zwillingsbeutel wirft Fragen auf.,¿Embarazo falso? El bulto gemelo de Beyoncé está planteando preguntas.,Фальшивая беременность? Двойной малыш Бейонсе поднимает вопросы.,1
034fake.txt,Hillary Clinton The Movie - Starring Glenn Close!,Hillary Clinton le film - avec Glenn Close!.,Hillary Clinton der Film - mit Glenn Close!.,Hillary Clinton La película - ¡Protagonizada por Glenn Close!.,"Хиллари Клинтон, фильм - Гленн Клоуз в главной роли!.",1
083fake.txt,"George Clooney's $220M Wedding Disaster - Prenup Feud, Guest List Flub & Planner Quit!",Désasure de mariage de George Clooney à 220 millions de dollars - Ferme de lutte.,"George Clooneys 220 Millionen US -Dollar Hochzeitskatastrophe - Prenup Feud, Gästeliste Flub.","Desastre de boda de $ 220 millones de George Clooney - Fuelle de prenupc, lista de invitados Flub.","Свадебная катастрофа Джорджа Клуни на 220 миллионов долларов - Prenup Feud, Список гостей Flub.",1
069fake.txt,Harry Styles Leaving One Direction Behind For Kendall Jenner?,Harry Styles laissant une direction pour Kendall Jenner?.,Harry Styles lässt Kendall Jenner eine Richtung zurück?.,¿Harry Styles dejó una dirección para Kendall Jenner?.,Гарри Стайлс оставил одно направление для Кендалла Дженнера?.,1
042fake.txt,Justin Bieber Vacation: Purpose Tour On Hold After Awards Show Rant? | Celeb Dirty Laundry,Justin Bieber Vacation: Purpose Tour On Hold After Awards Show Show Rant? | Laverie sale de célébrité.,Justin Bieber Urlaub: Purpose Tour ON Bay After Awards Show Rant? | Promi Dirty Wäsche.,Justin Bieber Vacaciones: Propósito Tour on Hold After Awards Show ¿despotricante? | Celeb Dirty Laundry.,"Джастин Бибер Каникул: Целевой тур в ожидании после наград, показывают Rant? | Знаменитость грязное прачечная.",1
047fake.txt,Katie Holmes Blasts Ex In Bombshell Interview About Suri,Katie Holmes fait exploser ex dans l'interview de Bombshell sur Suri.,Katie Holmes sprengt Ex im Bombshell -Interview über Suri.,Katie Holmes explota ex en la entrevista con bombas sobre Suri.,Кэти Холмс взрывы бывшие в интервью в бомбах о Сури.,1
056fake.txt,Biggest Costar Feuds and Fights Ever!,Les plus gros querelles et les combats de costar de tous les temps!.,Größte Costar -Fehden und Kämpfe aller Zeiten!.,¡Las disputas y peleas más grandes de la historia!.,Крупнейшая костровая вражда и бои за всю историю!.,1
135fake.txt,Brad Pitt reportedly dating Princess Charlotte of Monaco,Brad Pitt aurait datant de la princesse Charlotte de Monaco.,Brad Pitt ist Berichten zufolge mit Prinzessin Charlotte aus Monaco zusammen.,"Según los informes, Brad Pitt sale con la princesa Charlotte de Mónaco.","Брэд Питт, как сообщается, встречается с принцессой Шарлоттой из Монако.",1
179fake.txt,Jim Carrey Claims Donald Trump Is A 'Reptilian-Illuminati Blood Prince',Jim Carrey affirme que Donald Trump est un «prince de sang reptilien-illuminati».,Jim Carrey behauptet.,Jim Carrey afirma que Donald Trump es un 'príncipe de sangre reptiliano-iluminati'.,"Джим Керри утверждает, что Дональд Трамп-принц «рептилия-иллуминати крови».",1
168fake.txt,Kevin Hart Begs Wife Eniko Parrish For Forgiveness With $250000 Push Gift,Kevin Hart supplie la femme Eniko Parrish pour le pardon avec un cadeau de poussée de 250000 $.,Kevin Hart bittet Frau Eniko Parrish um Vergebung mit 250000 US -Dollar Push -Geschenk.,Kevin Hart le ruega a la esposa Eniko Parrish por perdón con un regalo de empuje de $ 250000.,Кевин Харт умоляет жену Энико Парриш за прощение с подарком за 250000 долларов.,1
123fake.txt,Kim Kardashian talks her surrogate,Kim Kardashian parle de sa mère porteuse.,Kim Kardashian spricht über ihren Ersatz.,Kim Kardashian habla su sustituto.,Ким Кардашьян говорит о своем суррогате.,1
153fake.txt,Caitlyn Jenner Looks to New Girlfriend for Support as She Goes Deaf,Caitlyn Jenner se tourne vers une nouvelle petite amie pour son soutien alors qu'elle se met sourde.,"Caitlyn Jenner sucht nach einer neuen Freundin um Unterstützung, während sie taub wird.",Caitlyn Jenner busca apoyo a la nueva novia mientras se queda sorda.,"Кейтлин Дженнер смотрит на новую девушку за поддержку, когда она глухая.",1
138fake.txt,"Katie Holmes and Jamie Foxx Come Out As an Item, After 'Tom Cruise Ban' Expires","Katie Holmes et Jamie Foxx sont sortis en tant qu'objet, après l'expiration de «Tom Cruise Ban».","Katie Holmes und Jamie Foxx kommen als Gegenstand heraus, nachdem 'Tom Cruise Ban' abläuft.","Katie Holmes y Jamie Foxx salen como un artículo, después de que 'Tom Cruise Ban' expire.",Кэти Холмс и Джейми Фокс выходят как предмет после истечения срока «Тома Круиза».,1
116fake.txt,Selena Gomez Is ‘Crazy In Love’ With Justin After Reuniting: She’s ‘Light & Joyful’,"Selena Gomez est ""folle amoureuse"" avec Justin après la réunition: elle est ""Lumière.","Selena Gomez ist nach der Wiedervereinigung ""verrückt in Liebe"" in Justin: Sie ist ""Licht"".","Selena Gomez está ""loca enamorada"" con Justin después de reunirse: ella es ""luz.",Селена Гомес «сумасшедшая в любви» с Джастином после воссоединения: она «свет.,1
131fake.txt,What Nicki Minaj wore to Serena Williams' wedding is not really OK,Ce que Nicki Minaj portait au mariage de Serena Williams n'est pas vraiment ok.,"Was Nicki Minaj zu Serena Williams 'Hochzeit trug, ist nicht wirklich in Ordnung.",Lo que Nicki Minaj llevó a la boda de Serena Williams no está realmente bien.,"То, что Ники Минадж носила на свадьбу Серены Уильямс, на самом деле не в порядке.",1
134fake.txt,PINK & LADY GAGA ARE ‘WORKING TOGETHER’ TO WRITE AN ANTI-MADONNA ANTHEM,ROSE.,ROSA.,ROSA.,РОЗОВЫЙ.,1
108fake.txt,White Witch warns Angelina against using spells to woo back Brad,White Witch avertit Angelina contre l'utilisation de sorts pour courtiser Brad.,Weiße Hexe warnt Angelina davor.,White Witch advierte a Angelina que no use hechizos para cortejar a Brad.,"Белая ведьма предупреждает Анджелину против использования заклинаний, чтобы вернуть Брэд.",1
133fake.txt,The Weeknd Was Spotted Holding Hands With Justin Bieber’s Ex,The Weeknd a été repéré en tenant la main avec l'ex de Justin Bieber.,"Das Weeknd wurde gesehen, wie Justin Biebers Ex die Hände hält.",El Weeknd fue visto tomados de la mano con el ex de Justin Bieber.,"The Weeknd был замечен, держа руки с бывшим Джастином Бибером.",1
161fake.txt,Is the Queen preparing abdicate?,La reine prépare-t-elle AbdiCa?.,Bereitet die Königin Abdikat vor?.,¿La reina está preparando abdicate?.,Королева готовит отречься?.,1
154fake.txt,"Taylor Swift Drops Album ""Reputation"", Joe Alywn Planning Something","L'album ""Reputation"" de Taylor Swift Drops, Joe Alywn planifiant quelque chose.","Taylor Swift lässt Album ""Reputation"", Joe Alywn etwas planen.","El álbum de Taylor Swift Drops ""Reputation"", Joe Alywn planeando algo.","Альбом Taylor Swift Drops ""Репутация"", Джо Алиун что -то планируя.",1
157fake.txt,Jennifer Lawrence 'stripped naked and demanded Kanye West styled her' after drinking five martinis at Kris Jenner's house,Jennifer Lawrence 'se déshabillait et a exigé Kanye West l'a stylée' 'après avoir bu cinq martinis chez Kris Jenner.,"Jennifer Lawrence 'zog sich nackt aus und forderte Kanye West sie, nachdem sie fünf Martinis in Kris Jenners Haus getrunken hatte.",Jennifer Lawrence 'se desnudó y exigió que Kanye West la diseñó' después de beber cinco martinis en la casa de Kris Jenner.,"Дженнифер Лоуренс «разделенная обнаженная и потребовала Канье Уэст в стиле ее» после того, как выпил пять мартини в доме Крис Дженнер.",1
127fake.txt,Cheers? Sloppy Jessica Simpson & Eric Johnson Becoming Booze Moguls!,Acclamations? Jessica Simpson bâclée.,Beifall? Sloppy Jessica Simpson.,¿Salud? Descuidado Jessica Simpson.,Ваше здоровье? Неаккуратная Джессика Симпсон.,1
130fake.txt,What Taylor Swift's New Make-Under Really Means,Ce que le nouveau maquilleur de Taylor Swift signifie vraiment.,Was Taylor Swifts neuer Make-Uner wirklich bedeutet.,Lo que realmente significa lo nuevo de Taylor Swift..,Что на самом деле означает новая макияж Тейлор Свифт.,1
164fake.txt,"Is Jared Leto, 45, Crushing On 19-Year-old Paris Jackson?","Jared Leto, 45 ans, écrase-t-il Paris Jackson, 19 ans?.","Ist Jared Leto, 45, in den 19-jährigen Pariser Jackson nachgedreht?.","¿Jared Leto, de 45 años, está enamorado de Paris Jackson, de 19 años?.","Является ли 45-летний Джаред Лето, разбивая 19-летнего Парижа Джексона?.",1
186fake.txt,Watch Out Gwyneth Paltrow – Jennifer Aniston Is After You! EXCLUSIVE,Attention à Gwyneth Paltrow - Jennifer Aniston est après vous! EXCLUSIF.,Pass auf Gwyneth Paltrow auf - Jennifer Aniston ist hinter dir her! EXKLUSIV.,Cuidado con Gwyneth Paltrow - ¡Jennifer Aniston está después de ti! EXCLUSIVO.,Остерегайтесь Гвинет Пэлтроу - Дженнифер Энистон после тебя! Эксклюзивный.,1
024legit.txt,"No, Justin Bieber didn't pee his $690 pants","Non, Justin Bieber n'a pas fait pipi son pantalon de 690 $.","Nein, Justin Bieber hat seine 690 -Dollar -Hosen nicht gepinkelt.","No, Justin Bieber no orinó sus pantalones de $ 690.","Нет, Джастин Бибер не мочил штаны за 690 долларов.",0
002legit.txt,This Is What Brad Pitt Has Been Texting Jennifer Aniston,C'est ce que Brad Pitt a envoyé des SMS à Jennifer Aniston.,Das hat Brad Pitt Jennifer Aniston geschrieben.,Esto es lo que Brad Pitt ha estado enviando mensajes de texto a Jennifer Aniston.,"Это то, что Брэд Питт написал, Дженнифер Энистон.",0
004legit.txt,Jennifer Aniston sparks adoption rumors,Jennifer Aniston suscite des rumeurs d'adoption.,Jennifer Aniston Sparks Adoptionsgerüchte.,Jennifer Aniston Sparks Rumores de adopción.,Дженнифер Энистон Спаркс Слухи о усыновлении.,0
008legit.txt,Brad Pitt is not reuniting with Jennifer Aniston; claims of Angelina Jolie threatening him debunked,Brad Pitt ne retrouve pas Jennifer Aniston; Les affirmations d'Angelina Jolie le menaçaient.,Brad Pitt vereint sich nicht mit Jennifer Aniston; Ansprüche von Angelina Jolie drohten ihn entlarvt.,Brad Pitt no se reúne con Jennifer Aniston; reclamos de Angelina Jolie amenazándolo desacreditó.,"Брэд Питт не воссоединяется с Дженнифер Энистон; утверждения о том, что Анджелина Джоли угрожает ему развенчана.",0
013legit.txt,Kanye West is launching his own makeup line called Donda,Kanye West lance sa propre ligne de maquillage appelée Donda.,Kanye West startet seine eigene Make -up -Linie namens Donda.,Kanye West está lanzando su propia línea de maquillaje llamada Donda.,Канье Уэст запускает свою собственную линию макияжа под названием Donda.,0
014legit.txt,Analysis | Kanye West and how hip-hop tackles mental health,Analyse | Kanye West et comment le hip-hop aborde la santé mentale.,Analyse | Kanye West und wie Hip-Hop die psychische Gesundheit angeht.,Análisis | Kanye West y cómo el hip-hop aborda la salud mental.,Анализ | Канье Уэст и как хип-хоп справляется с психическим здоровьем.,0
007legit.txt,Jennifer Aniston Finally Pregnant At 48 Years Old? | Celeb Dirty Laundry,Jennifer Aniston enfin enceinte à 48 ans? | Laverie sale de célébrité.,Jennifer Aniston mit 48 Jahren schließlich schwanger? | Promi Dirty Wäsche.,¿Jennifer Aniston finalmente embarazada a los 48 años? | Celeb Dirty Laundry.,Дженнифер Энистон наконец -то беременная в 48 лет? | Знаменитость грязное прачечная.,0
001legit.txt,Jennifer Aniston dashes 'Friends' reunion hopes,Jennifer Aniston tire des espoirs de réunion des «amis».,"Jennifer Aniston freut sich ""Friends 'Reunion hofft.",Jennifer Aniston Dashes 'Friends' Reunion Hopes.,Дженнифер Энистон Дэшс «Друзья» надеются.,0
019legit.txt,Kim And Kanye Silence Divorce Rumors With Family Photo,Kim et Kanye Silence Divorce Rumeurs avec Photo de famille.,Kim und Kanye Schweigen Scheidungsgerüchte mit Familienfoto.,Kim y Kanye Rumores de divorcio de silencio con foto familiar.,Ким и Канье молчание слухи о разводе с семейным фото.,0
016legit.txt,Kim Kardashian fails to congratulate Beyonce over twin pregnancy news while BFF Chrissy Teigen appears to mock superstar's announcement,Kim Kardashian ne parvient pas à féliciter Beyonce sur les nouvelles de la grossesse jumelle tandis que BFF Chrissy Teigen semble se moquer de l'annonce de Superstar.,"Kim Kardashian gratuliert Beyonce nicht zu Twin Pregnancy News, während BFF Chrissy Teigen den Ankündigung von Superstar zu verspotten scheint.","Kim Kardashian no felicita a Beyonce por las noticias gemelas del embarazo, mientras que BFF Chrissy Teigen parece burlarse del anuncio de superestrella.","Ким Кардашьян не может поздравить Бейонсе с новостями о беременности, в то время как BFF Крисси Тейген, по -видимому, издевается над объявлением суперзвезды.",0
022legit.txt,Taylor Swift's camp denies that singer is launching her own streaming service,Le camp de Taylor Swift nie que Singer lance son propre service de streaming.,"Taylor Swifts Camp bestreitet, dass Sänger ihren eigenen Streaming -Service startet.",El campamento de Taylor Swift niega que Singer esté lanzando su propio servicio de transmisión.,"Лагерь Тейлор Свифт отрицает, что Сингер запускает свой собственный потоковой сервис.",0
006legit.txt,"Jennifer Aniston: I'm Not a 'Sad, Childless Human'",Jennifer Aniston: Je ne suis pas un «humain triste et sans enfant».,"Jennifer Aniston: Ich bin kein ""trauriger, kinderloser Mensch"".","Jennifer Aniston: No soy un ""humano triste y sin hijos"".","Дженнифер Энистон: Я не «грустный, бездетный человек».",0
009legit.txt,Miley And Liam Fighting? False Rumors Swirl That They're In A Feud Over A Supposed Prenup,Miley et Liam se battent? Les fausses rumeurs tourbillonnent selon lesquelles ils sont dans une querelle sur un sous-marin supposé.,"Miley und Liam kämpfen? Falsche Gerüchte wirbelten, dass sie in einer Fehde über einen angeblichen Prenup sind.",¿Miley y Liam luchando? Los rumores falsos arremolinan que están en una disputa por un supuesto prenup.,"Майли и Лиам борются? Ложные слухи крутятся о том, что они в вражде по предполагаемому доступе.",0
003legit.txt,Jennifer Aniston's spokesman denies reports the 47-year-old actress expecting 'miracle baby',Le porte-parole de Jennifer Aniston nie à l'actrice de 47 ans que l'actrice s'attendait à un «bébé miracle».,"Jennifer Anistons Sprecher bestreitet, dass die 47-jährige Schauspielerin ""Wunderbaby"" erwartet, die erwartet,.",El portavoz de Jennifer Aniston niega informes que la actriz de 47 años espera 'Miracle Baby'.,"Пресс-секретарь Дженнифер Энистон отрицает, что 47-летняя актриса ожидает «Чудо ребенка».",0
005legit.txt,Jennifer Aniston denies she had an affair with Matt LeBlanc,Jennifer Aniston nie qu'elle a eu une liaison avec Matt LeBlanc.,"Jennifer Aniston bestreitet, dass sie eine Affäre mit Matt LeBlanc hatte.",Jennifer Aniston niega que haya tenido una aventura con Matt LeBlanc.,"Дженнифер Энистон отрицает, что у нее был роман с Мэттом Лебланком.",0
020legit.txt,Kim Kardashian Says Kanye West Is 'Serious' About Running For President,Kim Kardashian dit que Kanye West est `` sérieux '' de se présenter à la présidence.,"Kim Kardashian sagt, dass Kanye West ""ernst"" ist, als Präsident zu kandidieren.","Kim Kardashian dice que Kanye West es ""serio"" sobre postularse para presidente.","Ким Кардашьян говорит, что Канье Уэст «серьезно» в том, чтобы баллотироваться на пост президента.",0
017legit.txt,The World Might Get a Kim Kardashian Cookbook Soon,Le monde pourrait bientôt obtenir un livre de cuisine Kim Kardashian.,Die Welt könnte bald ein Kim Kardashian -Kochbuch bekommen.,El mundo podría obtener un libro de cocina Kim Kardashian pronto.,Мир может скоро получить поваренную книгу Ким Кардашьян.,0
021legit.txt,Jake Gyllenhaal Is Not Here for Taylor Swift Questions,Jake Gyllenhaal n'est pas là pour les questions de Taylor Swift.,Jake Gyllenhaal ist nicht für Taylor Swift -Fragen da.,Jake Gyllenhaal no está aquí para las preguntas de Taylor Swift.,Джейк Джилленхол здесь не для вопросов Тейлор Свифт.,0
015legit.txt,"Kanye West, No 'American Idol' For Me","Kanye West, pas «idole américaine» pour moi.","Kanye West, kein 'amerikanisches Idol' für mich.","Kanye West, no 'American Idol' para mí.","Канье Уэст, нет для меня «американский кумир».",0
